"ExtractDate","CategoryCode","Country","Frequence"
"07","GL","AFGHANISTAN",8
"07","GL","ALBANIA",16
"07","GL","ALGERIA",9
"07","GL","ANDORRA",35
"07","GL","ANGOLA",10
"07","GL","ANGUILLA",120
"07","GL","ANTIGUA AND BARBUDA",39
"07","GL","ARGENTINA",401
"07","GL","ARMENIA",34
"07","GL","ARUBA",16
"07","GL","AUSTRALIA",2073
"07","GL","AUSTRIA",3010
"07","GL","AZERBAIJAN",34
"07","GL","BAHAMAS",646
"07","GL","BAHRAIN",165
"07","GL","BANGLADESH",81
"07","GL","BARBADOS",146
"07","GL","BELARUS",68
"07","GL","BELGIUM",256
"07","GL","BELIZE",135
"07","GL","BENIN",8
"07","GL","BERMUDA",1579
"07","GL","BHUTAN",1
"07","GL","BOLIVIA, PLURINATIONAL STATE OF",31
"07","GL","BONAIRE, SINT EUSTATIUS AND SABA",12
"07","GL","BOSNIA AND HERZEGOVINA",23
"07","GL","BOTSWANA",20
"07","GL","BRAZIL",2362
"07","GL","BRITISH INDIAN OCEAN TERRITORY",1
"07","GL","BRUNEI DARUSSALAM",21
"07","GL","BULGARIA",96
"07","GL","BURKINA FASO",6
"07","GL","BURUNDI",3
"07","GL","CAMBODIA",82
"07","GL","CAMEROON",10
"07","GL","CANADA",2566
"07","GL","CAPE VERDE",6
"07","GL","CAYMAN ISLANDS",17207
"07","GL","CENTRAL AFRICAN REPUBLIC",2
"07","GL","CHAD",4
"07","GL","CHILE",342
"07","GL","CHINA",213
"07","GL","CHRISTMAS ISLAND",1
"07","GL","COLOMBIA",184
"07","GL","COMOROS",1
"07","GL","CONGO",5
"07","GL","CONGO, DEMOCRATIC REPUBLIC OF THE",9
"07","GL","COOK ISLANDS",87
"07","GL","COSTA RICA",116
"07","GL","COTE D'IVOIRE",18
"07","GL","CROATIA",67
"07","GL","CURACAO",189
"07","GL","CYPRUS",330
"07","GL","CZECH REPUBLIC",115
"07","GL","DENMARK",204
"07","GL","DJIBOUTI",2
"07","GL","DOMINICA",18
"07","GL","DOMINICAN REPUBLIC",75
"07","GL","ECUADOR",27
"07","GL","EGYPT",109
"07","GL","EL SALVADOR",41
